,genre,gross,imdb_score
1,Crime,0.41,6.2
2,Romance,0.41,6.2
3,Thriller,0.41,6.2
0,Comedy,0.37,4.9
1,Family,0.37,4.9
2,Sci-Fi,0.37,4.9
0,Action,0.36,6.1
1,Crime,0.36,6.1
2,Thriller,0.36,6.1
0,Adventure,0.42,6.1
1,Animation,0.42,6.1
2,Comedy,0.42,6.1
3,Family,0.42,6.1
4,Sci-Fi,0.42,6.1
0,Action,0.43,6.4
1,Adventure,0.43,6.4
2,Sci-Fi,0.43,6.4
3,Thriller,0.43,6.4
0,Comedy,0.35,6.3
1,Crime,0.35,6.3
2,Romance,0.35,6.3
0,Crime,0.43,6.6
1,Drama,0.43,6.6
2,Mystery,0.43,6.6
3,Thriller,0.43,6.6
0,Horror,0.34,5.7
1,Mystery,0.34,5.7
2,Sci-Fi,0.34,5.7
3,Thriller,0.34,5.7
0,Comedy,0.32,5.9
1,Crime,0.32,5.9
0,Action,0.4,6.0
1,Crime,0.4,6.0
2,Drama,0.4,6.0
3,Mystery,0.4,6.0
4,Thriller,0.4,6.0
0,Action,0.33,6.1
1,Crime,0.33,6.1
2,Drama,0.33,6.1
3,Thriller,0.33,6.1
0,Biography,0.32,6.7
1,Drama,0.32,6.7
2,Music,0.32,6.7
0,Drama,0.31,6.7
1,Fantasy,0.31,6.7
2,Sport,0.31,6.7
0,Adventure,0.33,7.9
1,Comedy,0.33,7.9
2,Drama,0.33,7.9
3,Music,0.33,7.9
0,Action,0.26,4.3
1,Adventure,0.26,4.3
2,Crime,0.26,4.3
3,Thriller,0.26,4.3
0,Action,0.29,5.7
1,Fantasy,0.29,5.7
2,Horror,0.29,5.7
3,Sci-Fi,0.29,5.7
4,Thriller,0.29,5.7
0,Adventure,0.26,6.7
1,Animation,0.26,6.7
2,Comedy,0.26,6.7
3,Drama,0.26,6.7
4,Family,0.26,6.7
5,Fantasy,0.26,6.7
6,Romance,0.26,6.7
0,Horror,0.27,6.7
1,Sci-Fi,0.27,6.7
2,Thriller,0.27,6.7
0,Action,6.23,8.1
1,Adventure,6.23,8.1
2,Sci-Fi,6.23,8.1
0,Drama,0.3,6.1
1,Fantasy,0.3,6.1
2,Mystery,0.3,6.1
3,Romance,0.3,6.1
4,Thriller,0.3,6.1
0,Crime,0.23,5.6
1,Drama,0.23,5.6
2,Mystery,0.23,5.6
3,Thriller,0.23,5.6
0,Action,0.13,6.6
1,Adventure,0.13,6.6
2,Drama,0.13,6.6
3,History,0.13,6.6
4,Romance,0.13,6.6
5,War,0.13,6.6
0,Action,0.18,6.9
1,Drama,0.18,6.9
2,Thriller,0.18,6.9
0,Horror,0.14,4.8
1,Sci-Fi,0.14,4.8
2,Thriller,0.14,4.8
0,Drama,0.0,6.2
1,Fantasy,0.0,6.2
2,Mystery,0.0,6.2
3,Romance,0.0,6.2
0,Fantasy,0.31,6.0
1,Horror,0.31,6.0
2,Mystery,0.31,6.0
3,Romance,0.31,6.0
0,Adventure,0.12,4.9
1,Comedy,0.12,4.9
2,Family,0.12,4.9
3,Romance,0.12,4.9
4,Sci-Fi,0.12,4.9
0,Drama,0.25,5.6
1,Horror,0.25,5.6
2,Thriller,0.25,5.6
0,Comedy,0.22,6.1
1,Drama,0.22,6.1
0,Adventure,0.17,6.1
1,Family,0.17,6.1
2,Fantasy,0.17,6.1
0,Action,0.2,4.8
1,Crime,0.2,4.8
2,Fantasy,0.2,4.8
3,Thriller,0.2,4.8
0,Action,0.08,5.5
1,Comedy,0.08,5.5
2,Mystery,0.08,5.5
3,Romance,0.08,5.5
0,Action,0.05,3.8
1,Adventure,0.05,3.8
2,Fantasy,0.05,3.8
3,Thriller,0.05,3.8
0,Adventure,0.04,6.5
1,Drama,0.04,6.5
2,Romance,0.04,6.5
3,War,0.04,6.5
0,Action,0.1,6.7
1,Drama,0.1,6.7
2,War,0.1,6.7
0,Action,3.63,8.1
1,Adventure,3.63,8.1
2,Comedy,3.63,8.1
3,Romance,3.63,8.1
4,Sci-Fi,3.63,8.1
0,Comedy,0.12,4.9
1,Drama,0.12,4.9
0,Action,3.5,7.3
1,Biography,3.5,7.3
2,Drama,3.5,7.3
3,History,3.5,7.3
4,Thriller,3.5,7.3
5,War,3.5,7.3
0,Adventure,0.8,6.4
1,Comedy,0.8,6.4
2,Family,0.8,6.4
3,Fantasy,0.8,6.4
4,Horror,0.8,6.4
0,Comedy,0.48,6.7
1,Fantasy,0.48,6.7
2,Romance,0.48,6.7
0,Comedy,0.35,3.6
1,Family,0.35,3.6
2,Romance,0.35,3.6
3,Sci-Fi,0.35,3.6
0,Action,0.54,5.7
1,Adventure,0.54,5.7
2,Thriller,0.54,5.7
3,War,0.54,5.7
0,Comedy,0.31,6.0
1,Drama,0.31,6.0
2,Romance,0.31,6.0
3,Sport,0.31,6.0
0,Comedy,0.3,4.7
1,Drama,0.3,4.7
2,Romance,0.3,4.7
0,Comedy,0.45,6.3
0,Action,0.6,5.9
1,Adventure,0.6,5.9
2,Horror,0.6,5.9
3,Sci-Fi,0.6,5.9
0,Action,0.5,5.9
1,Adventure,0.5,5.9
2,Drama,0.5,5.9
3,History,0.5,5.9
4,War,0.5,5.9
0,Drama,0.61,7.5
1,Mystery,0.61,7.5
2,Thriller,0.61,7.5
0,Comedy,0.37,5.6
0,Action,0.51,6.4
1,Adventure,0.51,6.4
2,Fantasy,0.51,6.4
0,Action,0.28,6.3
1,Comedy,0.28,6.3
2,Crime,0.28,6.3
3,Drama,0.28,6.3
0,Action,0.52,4.3
1,Fantasy,0.52,4.3
2,Thriller,0.52,4.3
0,Drama,0.26,5.9
1,Music,0.26,5.9
2,Romance,0.26,5.9
3,War,0.26,5.9
0,Action,1.13,5.5
1,Comedy,1.13,5.5
2,Drama,1.13,5.5
3,Family,1.13,5.5
4,Thriller,1.13,5.5
0,Action,0.46,6.2
1,Crime,0.46,6.2
0,Comedy,3.3,8.8
1,Drama,3.3,8.8
0,Animation,2.17,5.2
1,Comedy,2.17,5.2
2,Family,2.17,5.2
3,Fantasy,2.17,5.2
4,Music,2.17,5.2
0,Comedy,1.66,7.0
0,Adventure,1.42,6.6
1,Animation,1.42,6.6
2,Drama,1.42,6.6
3,Family,1.42,6.6
4,History,1.42,6.6
5,Musical,1.42,6.6
6,Romance,1.42,6.6
0,Action,1.34,7.3
1,Adventure,1.34,7.3
2,Drama,1.34,7.3
3,Romance,1.34,7.3
4,Sci-Fi,1.34,7.3
0,Comedy,1.29,5.6
1,Romance,1.29,5.6
2,Sci-Fi,1.29,5.6
0,Comedy,1.78,6.6
1,Romance,1.78,6.6
0,Action,1.05,5.4
1,Adventure,1.05,5.4
2,Comedy,1.05,5.4
3,Family,1.05,5.4
4,Romance,1.05,5.4
0,Comedy,1.04,6.3
1,Romance,1.04,6.3
0,Biography,1.07,7.9
1,Drama,1.07,7.9
2,Thriller,1.07,7.9
0,Comedy,0.99,6.3
1,Crime,0.99,6.3
2,Romance,0.99,6.3
3,Thriller,0.99,6.3
0,Comedy,1.0,6.0
1,Family,1.0,6.0
2,Fantasy,1.0,6.0
0,Action,1.02,7.2
1,Crime,1.02,7.2
2,Thriller,1.02,7.2
0,Comedy,0.94,5.1
1,Drama,0.94,5.1
2,Romance,0.94,5.1
0,Action,0.91,7.3
1,Drama,0.91,7.3
2,Thriller,0.91,7.3
3,War,0.91,7.3
0,Biography,1.63,8.0
1,Drama,1.63,8.0
0,Drama,0.9,6.2
1,Mystery,0.9,6.2
2,Thriller,0.9,6.2
0,Drama,0.83,6.0
1,Thriller,0.83,6.0
0,Drama,0.79,6.7
1,Fantasy,0.79,6.7
2,Romance,0.79,6.7
0,Action,0.7,8.1
0,Comedy,0.66,6.4
0,Action,0.66,8.0
1,Crime,0.66,8.0
2,Drama,0.66,8.0
3,Thriller,0.66,8.0
0,Action,0.63,6.3
1,Comedy,0.63,6.3
2,Crime,0.63,6.3
3,Thriller,0.63,6.3
0,Comedy,0.58,6.4
1,Fantasy,0.58,6.4
2,Horror,0.58,6.4
0,Action,0.57,6.6
1,Adventure,0.57,6.6
2,Comedy,0.57,6.6
3,Western,0.57,6.6
0,Action,0.69,6.4
1,Adventure,0.69,6.4
2,Thriller,0.69,6.4
0,Comedy,0.68,6.0
1,Family,0.68,6.0
2,Fantasy,0.68,6.0
0,Action,0.25,6.6
1,Adventure,0.25,6.6
2,Fantasy,0.25,6.6
0,Adventure,0.56,5.9
1,Animation,0.56,5.9
2,Comedy,0.56,5.9
3,Family,0.56,5.9
0,Action,0.55,6.4
1,Horror,0.55,6.4
2,Sci-Fi,0.55,6.4
0,Biography,0.5,6.3
1,Drama,0.5,6.3
2,History,0.5,6.3
3,Musical,0.5,6.3
0,Action,0.42,7.3
1,Adventure,0.42,7.3
2,Crime,0.42,7.3
3,Thriller,0.42,7.3
0,Adventure,0.39,6.8
1,Drama,0.39,6.8
2,Horror,0.39,6.8
3,Thriller,0.39,6.8
0,Animation,0.76,7.2
1,Comedy,0.76,7.2
2,Family,0.76,7.2
3,Fantasy,0.76,7.2
0,Action,0.34,5.7
1,Comedy,0.34,5.7
2,Sci-Fi,0.34,5.7
0,Action,0.34,6.0
1,Crime,0.34,6.0
2,Drama,0.34,6.0
3,Thriller,0.34,6.0
0,Drama,0.34,6.5
1,Thriller,0.34,6.5
0,Comedy,0.34,5.8
0,Comedy,0.33,5.8
1,Sport,0.33,5.8
0,Adventure,0.31,6.7
1,Animation,0.31,6.7
2,Comedy,0.31,6.7
3,Family,0.31,6.7
0,Crime,0.36,7.8
1,Drama,0.36,7.8
2,Mystery,0.36,7.8
3,Thriller,0.36,7.8
0,Action,0.21,5.6
1,Drama,0.21,5.6
2,Sci-Fi,0.21,5.6
3,Thriller,0.21,5.6
0,Action,0.19,5.8
1,Drama,0.19,5.8
2,Sport,0.19,5.8
3,Thriller,0.19,5.8
0,Drama,0.51,7.4
1,Musical,0.51,7.4
2,Romance,0.51,7.4
3,Thriller,0.51,7.4
0,Biography,0.16,6.9
1,Drama,0.16,6.9
2,History,0.16,6.9
3,War,0.16,6.9
0,Action,0.26,5.5
1,Sci-Fi,0.26,5.5
0,Drama,0.13,6.3
1,History,0.13,6.3
2,War,0.13,6.3
0,Action,0.11,4.7
1,Thriller,0.11,4.7
0,Comedy,0.16,5.6
1,Drama,0.16,5.6
2,Family,0.16,5.6
3,Fantasy,0.16,5.6
0,Adventure,0.51,6.4
1,Comedy,0.51,6.4
2,Crime,0.51,6.4
3,Family,0.51,6.4
4,Musical,0.51,6.4
0,Action,0.07,4.2
1,Adventure,0.07,4.2
2,Comedy,0.07,4.2
3,Family,0.07,4.2
4,Sci-Fi,0.07,4.2
0,Drama,0.39,6.4
1,Music,0.39,6.4
2,Musical,0.39,6.4
3,Romance,0.39,6.4
0,Drama,0.06,7.7
1,Mystery,0.06,7.7
2,Romance,0.06,7.7
3,War,0.06,7.7
0,Action,0.82,6.7
1,Horror,0.82,6.7
2,Sci-Fi,0.82,6.7
3,Thriller,0.82,6.7
0,Drama,0.7,7.7
1,Romance,0.7,7.7
0,Action,0.09,5.7
1,Thriller,0.09,5.7
0,Crime,0.67,7.6
1,Drama,0.67,7.6
0,Comedy,0.27,6.4
1,Drama,0.27,6.4
2,Romance,0.27,6.4
0,Comedy,0.76,5.6
1,Romance,0.76,5.6
0,Action,1.08,6.8
1,Adventure,1.08,6.8
2,Romance,1.08,6.8
3,Sci-Fi,1.08,6.8
0,Comedy,0.06,2.4
1,Crime,0.06,2.4
2,Romance,0.06,2.4
0,Drama,0.07,6.2
1,Thriller,0.07,6.2
0,Action,0.7,5.9
1,Crime,0.7,5.9
2,Thriller,0.7,5.9
0,Adventure,0.58,7.1
1,Animation,0.58,7.1
2,Drama,0.58,7.1
3,Family,0.58,7.1
4,Fantasy,0.58,7.1
5,Musical,0.58,7.1
6,Mystery,0.58,7.1
7,Romance,0.58,7.1
0,Drama,0.57,7.6
1,Musical,0.57,7.6
2,Romance,0.57,7.6
0,Crime,0.45,5.5
1,Mystery,0.45,5.5
2,Thriller,0.45,5.5
0,Biography,0.63,7.0
1,Crime,0.63,7.0
2,Drama,0.63,7.0
0,Drama,0.34,7.1
1,History,0.34,7.1
2,War,0.34,7.1
0,Crime,0.73,7.4
1,Drama,0.73,7.4
2,Thriller,0.73,7.4
0,Action,0.25,7.6
1,Horror,0.25,7.6
2,Thriller,0.25,7.6
0,Drama,0.23,5.9
1,History,0.23,5.9
2,Horror,0.23,5.9
0,Drama,0.06,5.9
1,Romance,0.06,5.9
2,Sport,0.06,5.9
0,Biography,1.64,8.0
1,Crime,1.64,8.0
2,Drama,1.64,8.0
0,Drama,0.96,7.4
1,History,0.96,7.4
2,Thriller,0.96,7.4
0,Comedy,1.19,5.8
1,Drama,1.19,5.8
2,Romance,1.19,5.8
0,Comedy,1.44,6.3
1,Family,1.44,6.3
2,Musical,1.44,6.3
3,Romance,1.44,6.3
0,Comedy,1.1,5.7
1,Romance,1.1,5.7
0,Action,0.8,5.1
1,Adventure,0.8,5.1
2,Comedy,0.8,5.1
0,Drama,0.36,7.6
1,War,0.36,7.6
0,Comedy,0.37,6.4
1,Fantasy,0.37,6.4
0,Biography,0.35,7.4
1,Comedy,0.35,7.4
2,Drama,0.35,7.4
0,Biography,0.42,8.2
1,Crime,0.42,8.2
2,Drama,0.42,8.2
0,Action,0.23,6.5
1,Thriller,0.23,6.5
0,Action,0.23,5.5
1,Comedy,0.23,5.5
2,Fantasy,0.23,5.5
0,Comedy,0.91,6.5
0,Animation,0.73,5.6
1,Comedy,0.73,5.6
2,Family,0.73,5.6
0,Adventure,2.97,4.6
1,Drama,2.97,4.6
2,Fantasy,2.97,4.6
3,Romance,2.97,4.6
0,Adventure,2.68,7.9
1,Animation,2.68,7.9
2,Comedy,2.68,7.9
3,Family,2.68,7.9
4,Fantasy,2.68,7.9
0,Romance,0.62,7.1
1,Sci-Fi,0.62,7.1
2,Thriller,0.62,7.1
0,Action,1.66,6.9
1,Adventure,1.66,6.9
2,Drama,1.66,6.9
3,Romance,1.66,6.9
0,Comedy,1.54,7.3
1,Drama,1.54,7.3
2,Romance,1.54,7.3
3,Sport,1.54,7.3
0,Comedy,2.19,7.0
1,Fantasy,2.19,7.0
0,Comedy,1.48,7.7
1,Drama,1.48,7.7
2,Romance,1.48,7.7
0,Biography,1.35,6.7
1,Comedy,1.35,6.7
2,Drama,1.35,6.7
3,Romance,1.35,6.7
0,Comedy,0.02,6.3
0,Comedy,1.26,5.8
1,Romance,1.26,5.8
0,Mystery,1.27,7.1
1,Sci-Fi,1.27,7.1
2,Thriller,1.27,7.1
0,Biography,1.26,7.3
1,Drama,1.26,7.3
0,Comedy,1.06,6.4
1,Romance,1.06,6.4
0,Action,1.92,7.1
1,Comedy,1.92,7.1
2,Crime,1.92,7.1
0,Drama,1.05,7.6
1,Fantasy,1.05,7.6
2,Horror,1.05,7.6
0,Comedy,0.98,6.8
1,Romance,0.98,6.8
0,Action,1.26,6.6
1,Comedy,1.26,6.6
2,Crime,1.26,6.6
0,Comedy,0.91,6.7
1,Drama,0.91,6.7
0,Comedy,1.5,6.1
1,Family,1.5,6.1
0,Adventure,1.28,6.0
1,Comedy,1.28,6.0
2,Drama,1.28,6.0
3,Fantasy,1.28,6.0
4,Musical,1.28,6.0
0,Crime,0.89,7.6
1,Drama,0.89,7.6
2,Mystery,0.89,7.6
3,Thriller,0.89,7.6
0,Action,0.82,7.1
1,Crime,0.82,7.1
2,Drama,0.82,7.1
3,Thriller,0.82,7.1
0,Action,0.81,5.0
1,Adventure,0.81,5.0
2,Mystery,0.81,5.0
3,Sci-Fi,0.81,5.0
0,Drama,0.8,6.2
1,Mystery,0.8,6.2
2,Sci-Fi,0.8,6.2
3,Thriller,0.8,6.2
0,Comedy,0.89,5.6
1,Romance,0.89,5.6
0,Comedy,0.84,7.4
1,Drama,0.84,7.4
2,Romance,0.84,7.4
0,Animation,0.75,5.0
1,Comedy,0.75,5.0
2,Family,0.75,5.0
3,Fantasy,0.75,5.0
0,Comedy,0.74,5.2
1,Family,0.74,5.2
0,Biography,0.76,7.6
1,Drama,0.76,7.6
2,Sport,0.76,7.6
0,Action,0.68,6.6
1,Drama,0.68,6.6
2,Thriller,0.68,6.6
0,Action,0.91,7.0
1,Mystery,0.91,7.0
2,Thriller,0.91,7.0
0,Action,0.67,5.7
1,Adventure,0.67,5.7
2,Family,0.67,5.7
3,Fantasy,0.67,5.7
4,Sci-Fi,0.67,5.7
5,Thriller,0.67,5.7
0,Action,0.7,8.2
1,Drama,0.7,8.2
2,Thriller,0.7,8.2
0,Action,0.6,6.2
1,Adventure,0.6,6.2
2,Comedy,0.6,6.2
0,Adventure,0.58,6.6
1,Animation,0.58,6.6
2,Comedy,0.58,6.6
3,Family,0.58,6.6
0,Adventure,0.66,4.7
1,Comedy,0.66,4.7
2,Family,0.66,4.7
3,Fantasy,0.66,4.7
4,Romance,0.66,4.7
5,Sport,0.66,4.7
0,Crime,0.55,6.3
1,Drama,0.55,6.3
2,Mystery,0.55,6.3
3,Thriller,0.55,6.3
0,Action,0.56,6.1
1,Fantasy,0.56,6.1
2,Horror,0.56,6.1
0,Drama,0.53,6.7
1,Thriller,0.53,6.7
0,Action,0.55,6.1
1,Adventure,0.55,6.1
2,Sci-Fi,0.55,6.1
3,Thriller,0.55,6.1
0,Drama,0.51,7.0
1,Thriller,0.51,7.0
0,Action,0.53,7.4
1,Drama,0.53,7.4
2,Thriller,0.53,7.4
3,War,0.53,7.4
0,Adventure,0.5,7.3
1,Animation,0.5,7.3
2,Comedy,0.5,7.3
3,Family,0.5,7.3
4,Fantasy,0.5,7.3
5,Romance,0.5,7.3
0,Crime,0.49,5.8
1,Thriller,0.49,5.8
0,Action,0.5,6.7
1,Crime,0.5,6.7
2,Drama,0.5,6.7
3,Thriller,0.5,6.7
0,Action,0.48,5.8
1,Drama,0.48,5.8
2,War,0.48,5.8
0,Drama,0.48,7.8
1,Mystery,0.48,7.8
2,Thriller,0.48,7.8
0,Adventure,0.47,6.6
1,Horror,0.47,6.6
2,Mystery,0.47,6.6
0,Comedy,0.45,6.5
1,Sport,0.45,6.5
0,Comedy,0.57,6.7
0,Action,0.44,7.3
1,Crime,0.44,7.3
2,Drama,0.44,7.3
3,Mystery,0.44,7.3
4,Thriller,0.44,7.3
0,Action,0.48,5.8
1,Thriller,0.48,5.8
0,Action,0.43,5.5
1,Comedy,0.43,5.5
2,Crime,0.43,5.5
3,Thriller,0.43,5.5
0,Comedy,0.41,6.3
1,Fantasy,0.41,6.3
2,Horror,0.41,6.3
0,Crime,0.47,7.4
1,Drama,0.47,7.4
0,Action,0.41,5.9
1,Thriller,0.41,5.9
0,Action,0.51,6.2
1,Horror,0.51,6.2
2,Sci-Fi,0.51,6.2
3,Thriller,0.51,6.2
0,Comedy,0.4,5.9
1,Drama,0.4,5.9
2,Romance,0.4,5.9
0,Crime,0.41,6.5
1,Drama,0.41,6.5
2,Romance,0.41,6.5
3,Thriller,0.41,6.5
0,Action,0.39,4.4
1,Adventure,0.39,4.4
2,Thriller,0.39,4.4
0,Action,0.39,3.5
1,Adventure,0.39,3.5
2,Family,0.39,3.5
3,Fantasy,0.39,3.5
0,Adventure,0.4,6.6
1,Drama,0.4,6.6
2,Thriller,0.4,6.6
0,Comedy,0.37,6.0
1,Drama,0.37,6.0
2,Romance,0.37,6.0
0,Action,0.38,6.4
1,Crime,0.38,6.4
2,Thriller,0.38,6.4
0,Drama,0.35,6.5
1,Romance,0.35,6.5
2,Sport,0.35,6.5
0,Comedy,0.33,4.3
1,Crime,0.33,4.3
2,Drama,0.33,4.3
3,Thriller,0.33,4.3
0,Comedy,0.34,4.2
1,Family,0.34,4.2
0,Drama,0.33,6.5
1,Fantasy,0.33,6.5
0,Crime,0.32,6.1
1,Mystery,0.32,6.1
2,Thriller,0.32,6.1
0,Action,0.3,6.3
1,Crime,0.3,6.3
2,Thriller,0.3,6.3
0,Crime,0.28,6.2
1,Drama,0.28,6.2
2,Thriller,0.28,6.2
0,Comedy,0.27,5.9
1,Drama,0.27,5.9
2,Romance,0.27,5.9
0,Action,0.27,5.9
1,Adventure,0.27,5.9
2,Romance,0.27,5.9
3,Sci-Fi,0.27,5.9
4,Thriller,0.27,5.9
0,Action,0.27,6.5
1,Crime,0.27,6.5
2,Drama,0.27,6.5
3,Mystery,0.27,6.5
4,Thriller,0.27,6.5
0,Action,0.26,6.4
1,Crime,0.26,6.4
2,Drama,0.26,6.4
3,Mystery,0.26,6.4
4,Thriller,0.26,6.4
0,Action,0.25,6.5
1,Crime,0.25,6.5
2,Drama,0.25,6.5
3,Mystery,0.25,6.5
4,Thriller,0.25,6.5
0,Action,0.25,5.7
1,Adventure,0.25,5.7
2,Sci-Fi,0.25,5.7
3,Thriller,0.25,5.7
0,Action,0.23,8.0
1,Adventure,0.23,8.0
2,Animation,0.23,8.0
3,Comedy,0.23,8.0
4,Drama,0.23,8.0
5,Family,0.23,8.0
6,Sci-Fi,0.23,8.0
0,Adventure,0.24,7.3
1,Comedy,0.24,7.3
2,Drama,0.24,7.3
0,Action,0.2,6.7
1,Biography,0.2,6.7
2,Drama,0.2,6.7
3,History,0.2,6.7
4,War,0.2,6.7
0,Crime,0.2,7.5
1,Drama,0.2,7.5
2,Thriller,0.2,7.5
0,Action,0.19,5.4
1,Comedy,0.19,5.4
0,Action,0.26,6.6
1,Crime,0.26,6.6
2,Drama,0.26,6.6
3,Thriller,0.26,6.6
0,Crime,0.17,7.7
1,Mystery,0.17,7.7
2,Thriller,0.17,7.7
0,Action,0.18,5.8
1,Adventure,0.18,5.8
2,Crime,0.18,5.8
3,Thriller,0.18,5.8
0,Adventure,0.14,6.4
1,Biography,0.14,6.4
2,Drama,0.14,6.4
3,History,0.14,6.4
4,War,0.14,6.4
0,Adventure,0.22,5.6
1,Comedy,0.22,5.6
2,Fantasy,0.22,5.6
0,Drama,0.21,6.0
1,Mystery,0.21,6.0
2,Thriller,0.21,6.0
0,Crime,0.11,6.2
1,Drama,0.11,6.2
2,Thriller,0.11,6.2
0,Adventure,0.17,5.9
1,Comedy,0.17,5.9
2,Crime,0.17,5.9
3,Drama,0.17,5.9
4,Family,0.17,5.9
0,Drama,0.1,5.1
1,Romance,0.1,5.1
0,Biography,0.1,6.8
1,Drama,0.1,6.8
2,Thriller,0.1,6.8
0,Action,0.1,6.0
1,Biography,0.1,6.0
2,Crime,0.1,6.0
3,Drama,0.1,6.0
4,Thriller,0.1,6.0
0,Crime,0.1,5.1
1,Drama,0.1,5.1
2,Thriller,0.1,5.1
0,Action,0.2,5.8
1,Sci-Fi,0.2,5.8
2,Thriller,0.2,5.8
0,Drama,0.19,6.2
1,Fantasy,0.19,6.2
2,Romance,0.19,6.2
0,Comedy,0.08,6.4
1,Crime,0.08,6.4
2,Drama,0.08,6.4
3,Thriller,0.08,6.4
0,Comedy,0.29,4.8
0,Comedy,0.06,4.9
1,Crime,0.06,4.9
0,Comedy,0.06,5.6
1,Sci-Fi,0.06,5.6
0,Action,0.11,5.5
1,Fantasy,0.11,5.5
2,Thriller,0.11,5.5
0,Action,0.09,3.7
1,Crime,0.09,3.7
2,Drama,0.09,3.7
3,Mystery,0.09,3.7
4,Thriller,0.09,3.7
0,Action,0.44,5.9
1,Sci-Fi,0.44,5.9
2,Thriller,0.44,5.9
0,Action,0.21,6.3
1,Adventure,0.21,6.3
2,Comedy,0.21,6.3
3,Crime,0.21,6.3
4,Music,0.21,6.3
5,Mystery,0.21,6.3
0,Crime,1.24,7.6
1,Drama,1.24,7.6
2,Thriller,1.24,7.6
0,Action,1.97,8.3
1,Adventure,1.97,8.3
2,Fantasy,1.97,8.3
0,Action,0.32,6.9
1,Crime,0.32,6.9
2,Drama,0.32,6.9
3,Sci-Fi,0.32,6.9
4,Thriller,0.32,6.9
0,Crime,0.66,6.7
1,Drama,0.66,6.7
2,Mystery,0.66,6.7
3,Thriller,0.66,6.7
0,Crime,0.95,6.8
1,Drama,0.95,6.8
2,Thriller,0.95,6.8
0,Action,0.61,7.1
1,Adventure,0.61,7.1
2,Comedy,0.61,7.1
3,Drama,0.61,7.1
4,War,0.61,7.1
0,Crime,0.01,6.4
1,Drama,0.01,6.4
2,Thriller,0.01,6.4
0,Adventure,0.57,6.4
1,Comedy,0.57,6.4
0,Drama,0.5,7.4
1,Mystery,0.5,7.4
2,Sci-Fi,0.5,7.4
0,Comedy,0.47,6.4
1,Fantasy,0.47,6.4
2,Romance,0.47,6.4
0,Comedy,0.38,6.0
1,Fantasy,0.38,6.0
2,Romance,0.38,6.0
0,Crime,0.26,6.5
1,Drama,0.26,6.5
2,Music,0.26,6.5
0,Adventure,0.54,7.8
1,Crime,0.54,7.8
2,Drama,0.54,7.8
3,Western,0.54,7.8
0,Action,0.89,6.0
1,Thriller,0.89,6.0
0,Crime,0.37,7.0
1,Drama,0.37,7.0
2,Romance,0.37,7.0
3,Thriller,0.37,7.0
0,Comedy,0.6,6.0
1,Drama,0.6,6.0
2,Thriller,0.6,6.0
0,Action,1.04,6.1
1,Comedy,1.04,6.1
2,Crime,1.04,6.1
3,Music,1.04,6.1
4,Romance,1.04,6.1
5,Thriller,1.04,6.1
0,Crime,0.69,6.8
1,Romance,0.69,6.8
2,Thriller,0.69,6.8
0,Biography,0.3,6.4
1,Comedy,0.3,6.4
2,Drama,0.3,6.4
0,Adventure,0.16,4.5
1,Animation,0.16,4.5
2,Comedy,0.16,4.5
3,Family,0.16,4.5
4,Fantasy,0.16,4.5
0,Drama,0.06,5.8
1,Horror,0.06,5.8
2,Romance,0.06,5.8
3,Thriller,0.06,5.8
0,Comedy,1.27,6.3
1,Romance,1.27,6.3
0,Comedy,0.94,5.7
1,Romance,0.94,5.7
0,Drama,0.67,7.2
1,Mystery,0.67,7.2
2,Thriller,0.67,7.2
0,Action,0.92,7.6
1,Adventure,0.92,7.6
2,Drama,0.92,7.6
3,Sci-Fi,0.92,7.6
4,Thriller,0.92,7.6
0,Action,0.11,4.7
1,Drama,0.11,4.7
2,Fantasy,0.11,4.7
3,Thriller,0.11,4.7
4,Western,0.11,4.7
0,Action,0.59,6.6
1,Drama,0.59,6.6
2,Mystery,0.59,6.6
3,Thriller,0.59,6.6
4,War,0.59,6.6
0,Comedy,1.81,6.8
1,Fantasy,1.81,6.8
2,Romance,1.81,6.8
0,Comedy,1.31,4.8
1,Family,1.31,4.8
2,Fantasy,1.31,4.8
0,Action,1.4,6.3
1,Crime,1.4,6.3
2,Thriller,1.4,6.3
0,Comedy,1.1,5.5
0,Action,1.07,6.2
1,Comedy,1.07,6.2
2,Crime,1.07,6.2
3,Romance,1.07,6.2
0,Action,1.02,5.8
1,Adventure,1.02,5.8
2,Family,1.02,5.8
3,Fantasy,1.02,5.8
4,Sci-Fi,1.02,5.8
0,Comedy,0.95,5.7
1,Family,0.95,5.7
2,Romance,0.95,5.7
0,Crime,1.01,6.5
1,Drama,1.01,6.5
2,Mystery,1.01,6.5
3,Thriller,1.01,6.5
0,Crime,0.92,6.7
1,Drama,0.92,6.7
2,Mystery,0.92,6.7
3,Thriller,0.92,6.7
0,Adventure,0.93,7.4
1,Comedy,0.93,7.4
2,Drama,0.93,7.4
0,Action,0.83,6.9
1,Thriller,0.83,6.9
0,Comedy,0.83,5.5
1,Romance,0.83,5.5
0,Crime,0.61,8.1
1,Drama,0.61,8.1
2,Mystery,0.61,8.1
3,Thriller,0.61,8.1
0,Crime,0.76,7.7
1,Drama,0.76,7.7
2,Thriller,0.76,7.7
0,Adventure,0.71,7.3
1,Comedy,0.71,7.3
2,Sci-Fi,0.71,7.3
0,Comedy,0.71,5.2
0,Adventure,0.89,7.1
1,Comedy,0.89,7.1
2,Family,0.89,7.1
3,Musical,0.89,7.1
0,Action,0.7,7.1
