,genre,gross,imdb_score
3,Romance,1.24,6.6
0,Adventure,2.92,6.9
1,Family,2.92,6.9
2,Fantasy,2.92,6.9
0,Action,1.55,7.3
1,Adventure,1.55,7.3
2,Sci-Fi,1.55,7.3
0,Action,5.33,9.0
1,Crime,5.33,9.0
2,Drama,5.33,9.0
3,Thriller,5.33,9.0
0,Adventure,2.93,8.3
1,Animation,2.93,8.3
2,Comedy,2.93,8.3
3,Family,2.93,8.3
0,Action,1.98,6.5
1,Adventure,1.98,6.5
2,Animation,1.98,6.5
3,Comedy,1.98,6.5
4,Family,1.98,6.5
5,Sci-Fi,1.98,6.5
0,Action,3.18,7.9
1,Adventure,3.18,7.9
2,Sci-Fi,3.18,7.9
0,Adventure,0.74,7.5
1,Drama,0.74,7.5
2,Family,0.74,7.5
3,Mystery,0.74,7.5
0,Action,1.14,4.8
1,Comedy,1.14,4.8
2,Sci-Fi,1.14,4.8
3,Western,1.14,4.8
0,Action,1.02,5.2
1,Adventure,1.02,5.2
2,Fantasy,1.02,5.2
3,Horror,1.02,5.2
4,Thriller,1.02,5.2
0,Action,1.61,6.9
1,Adventure,1.61,6.9
2,Comedy,1.61,6.9
3,Sci-Fi,1.61,6.9
0,Comedy,1.0,5.4
1,Family,1.0,5.4
2,Fantasy,1.0,5.4
0,Action,1.0,7.9
1,Adventure,1.0,7.9
2,Sci-Fi,1.0,7.9
0,Action,0.88,6.1
1,Adventure,0.88,6.1
2,Sci-Fi,0.88,6.1
3,Thriller,0.88,6.1
0,Action,1.5,5.8
1,Adventure,1.5,5.8
2,Sci-Fi,1.5,5.8
3,Thriller,1.5,5.8
0,Adventure,3.56,8.3
1,Animation,3.56,8.3
2,Comedy,3.56,8.3
3,Drama,3.56,8.3
4,Family,3.56,8.3
5,Fantasy,3.56,8.3
0,Adventure,3.63,7.8
1,Drama,3.63,7.8
2,Family,3.63,7.8
3,Fantasy,3.63,7.8
0,Action,3.12,7.0
1,Adventure,3.12,7.0
2,Sci-Fi,3.12,7.0
0,Action,1.55,6.1
1,Adventure,1.55,6.1
2,Drama,1.55,6.1
3,Fantasy,1.55,6.1
0,Action,2.41,7.0
1,Adventure,2.41,7.0
2,Family,2.41,7.0
3,Fantasy,2.41,7.0
4,Romance,2.41,7.0
0,Action,2.09,7.6
1,Adventure,2.09,7.6
2,Drama,2.09,7.6
3,Sci-Fi,2.09,7.6
0,Action,0.38,6.3
1,Adventure,0.38,6.3
2,Drama,0.38,6.3
3,Fantasy,0.38,6.3
0,Action,2.6,7.8
1,Adventure,2.6,7.8
2,Sci-Fi,2.6,7.8
0,Adventure,2.38,6.4
1,Animation,2.38,6.4
2,Comedy,2.38,6.4
3,Family,2.38,6.4
4,Fantasy,2.38,6.4
0,Action,0.93,6.5
1,Adventure,0.93,6.5
2,Family,0.93,6.5
3,Mystery,0.93,6.5
4,Sci-Fi,0.93,6.5
0,Action,2.22,7.9
1,Adventure,2.22,7.9
2,Animation,2.22,7.9
3,Comedy,2.22,7.9
4,Drama,2.22,7.9
5,Family,2.22,7.9
6,Sci-Fi,2.22,7.9
0,Adventure,1.89,7.8
1,Animation,1.89,7.8
